source,target,type
MS2.1,http://www.dil.ie/28194,word
MS2.1,http://www.dil.ie/21749,word
MS2.1,http://www.dil.ie/1581,word
MS2.1,http://www.dil.ie/21924,word
MS2.1,http://www.dil.ie/28194,word
MS2.1,http://www.dil.ie/26891,word
MS2.1,http://www.dil.ie/22333,word
MS2.1,http://www.dil.ie/12497,word
MS2.1,http://www.dil.ie/32908,word
MS2.1,http://www.dil.ie/28194,word
MS2.1,http://www.dil.ie/33783,word
MS2.1,http://www.dil.ie/33364,word
MS2.1,http://www.dil.ie/9787,word
MS2.1,http://www.dil.ie/14232,word
MS2.1,http://www.dil.ie/26891,word
MS2.1,http://www.dil.ie/14345,word
MS2.1,http://www.dil.ie/17096,word
MS2.1,http://www.dil.ie/16570,word
MS2.1,http://www.dil.ie/7528,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/7528,word
MS2.1,http://www.dil.ie/26218,word
MS2.1,http://www.dil.ie/33484,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/26495,word
MS2.1,http://www.dil.ie/29233,word
MS2.1,http://www.dil.ie/17096,word
MS2.1,http://www.dil.ie/17096,word
MS2.1,http://www.dil.ie/34047,word
MS2.1,http://www.dil.ie/8622,word
MS2.1,http://www.dil.ie/7528,word
MS2.1,http://www.dil.ie/7528,word
MS2.1,http://www.dil.ie/9787,word
MS2.1,http://www.dil.ie/8787,word
MS2.1,http://www.dil.ie/33147,word
MS2.1,http://www.dil.ie/31160,word
MS2.1,http://www.dil.ie/26891,word
MS2.1,http://www.dil.ie/33783,word
MS2.1,http://www.dil.ie/29233,word
MS2.1,http://www.dil.ie/33484,word
MS2.1,http://www.dil.ie/29233,word
MS2.1,http://www.dil.ie/33116,word
MS2.1,http://www.dil.ie/34476,word
MS2.1,http://www.dil.ie/15847,word
MS2.1,http://www.dil.ie/17096,word
MS2.1,http://www.dil.ie/16570,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/7528,word
MS2.1,http://www.dil.ie/18811,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/37139,word
MS2.1,http://www.dil.ie/22333,word
MS2.1,http://www.dil.ie/35318,word
MS2.1,http://www.dil.ie/8344,word
MS2.1,http://www.dil.ie/4184,word
MS2.1,http://www.dil.ie/12513,word
MS2.1,http://www.dil.ie/29104,word
MS2.1,http://www.dil.ie/19325,word
MS2.1,http://www.dil.ie/28194,word
MS2.1,http://www.dil.ie/37834,word
MS2.1,http://www.dil.ie/7528,word
MS2.1,http://www.dil.ie/18124,word
MS2.1,http://www.dil.ie/17096,word
MS2.1,http://www.dil.ie/16570,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/28194,word
MS2.1,http://www.dil.ie/36788,word
MS2.1,http://www.dil.ie/12406,word
MS2.1,http://www.dil.ie/37567,word
MS2.1,http://www.dil.ie/20990,word
MS2.1,http://www.dil.ie/21665,word
MS2.1,http://www.dil.ie/8581,word
MS2.1,http://www.dil.ie/12997,word
MS2.1,http://www.dil.ie/17096,word
MS2.1,http://www.dil.ie/9787,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/5134,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/5971,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/26612,word
MS2.1,http://www.dil.ie/26798,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/26052,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/26891,word
MS2.1,http://www.dil.ie/14812,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/36189,word
MS2.1,http://www.dil.ie/27635,word
MS2.1,http://www.dil.ie/200,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/32908,word
MS2.1,http://www.dil.ie/4927,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/12717,word
MS2.1,http://www.dil.ie/26931,word
MS2.1,http://www.dil.ie/10473,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/41316,word
MS2.1,http://www.dil.ie/24329,word
MS2.1,http://www.dil.ie/5444,word
MS2.1,http://www.dil.ie/5318,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/26020,word
MS2.1,http://www.dil.ie/8622,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/7528,word
MS2.1,http://www.dil.ie/9397,word
MS2.1,http://www.dil.ie/391,word
MS2.1,http://www.dil.ie/15847,word
MS2.1,http://www.dil.ie/17096,word
MS2.1,http://www.dil.ie/16570,word
MS2.1,http://www.dil.ie/14080,word
MS2.1,http://www.dil.ie/15020,word
MS2.1,http://www.dil.ie/15847,word
MS2.1,http://www.dil.ie/9788,word
MS2.1,http://www.dil.ie/28446,word
MS2.1,http://www.dil.ie/28194,word
MS2.1,http://www.dil.ie/33244,word
MS2.1,http://www.dil.ie/33322,word
MS2.1,http://www.dil.ie/27721,word
MS2.1,http://www.dil.ie/33512,word
MS2.1,http://www.dil.ie/24329,word
MS2.1,http://www.dil.ie/28194,word
MS2.1,http://www.dil.ie/28194,word
MS2.1,http://www.dil.ie/22171,word
MS2.1,http://www.dil.ie/33562,word
MS2.1,http://www.dil.ie/22134,word
MS2.1,http://www.dil.ie/29233,word
MS2.1,http://www.dil.ie/33484,word
MS2.1,http://www.dil.ie/37139,word
MS2.1,http://www.dil.ie/31438,word
MS2.1,http://www.dil.ie/17096,word
MS2.1,http://www.dil.ie/16570,word
MS2.1,http://www.dil.ie/24329,word
MS2.1,http://www.dil.ie/19189,word
MS2.1,http://www.dil.ie/28194,word
MS2.1,http://www.dil.ie/41835,word
MS2.1,http://www.dil.ie/33783,word
MS2.1,http://www.dil.ie/40049,word
MS2.1,http://www.dil.ie/31705,word
MS2.1,http://www.dil.ie/2,word
MS2.1,http://www.dil.ie/14787,word
MS2.1,http://www.dil.ie/30036,word
MS2.1,http://www.dil.ie/9397,word
MS2.1,http://www.dil.ie/32400,word
MS2.1,http://www.dil.ie/12497,word
MS2.1,http://www.dil.ie/43210,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/32400,word
MS2.1,http://www.dil.ie/13749,word
MS2.1,http://www.dil.ie/24329,word
MS2.1,http://www.dil.ie/7528,word
MS2.1,http://www.dil.ie/14080,word
MS2.1,http://www.dil.ie/8581,word
MS2.1,http://www.dil.ie/21975,word
MS2.1,http://www.dil.ie/36454,word
MS2.1,http://www.dil.ie/4927,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/32400,word
MS2.1,http://www.dil.ie/36341,word
MS2.1,http://www.dil.ie/17096,word
MS2.1,http://www.dil.ie/30036,word
MS2.1,http://www.dil.ie/15783,word
MS2.1,http://www.dil.ie/10380,word
MS2.1,http://www.dil.ie/3,word
MS2.1,http://www.dil.ie/5971,word
MS2.1,http://www.dil.ie/33484,word
MS2.1,http://www.dil.ie/4927,word
MS2.1,http://www.dil.ie/33484,word
MS2.1,http://www.dil.ie/14080,word
MS2.1,http://www.dil.ie/33397,word
MS2.1,http://www.dil.ie/33397,word
MS2.1,http://www.dil.ie/32400,word
MS2.1,http://www.dil.ie/16570,word
MS2.1,http://www.dil.ie/26891,word
MS2.1,http://www.dil.ie/14812,word
MS2.1,http://www.dil.ie/17788,word
MS2.1,http://www.dil.ie/22134,word
MS2.1,http://www.dil.ie/24329,word
MS2.1,http://www.dil.ie/24329,word
MS2.1,http://www.dil.ie/7528,word
MS2.1,http://www.dil.ie/27721,word
MS2.1,http://www.dil.ie/17788,word
MS2.1,http://www.dil.ie/19508,word
MS2.1,http://www.dil.ie/43210,word
MS2.1,http://www.dil.ie/22333,word
MS2.1,http://www.dil.ie/29507,word
MS2.1,http://www.dil.ie/24329,word
MS2.1,http://www.dil.ie/29580,word
MS2.1,http://www.dil.ie/40049,word
MS2.1,http://www.dil.ie/41302,word
MS2.1,http://www.dil.ie/28194,word
MS2.1,http://www.dil.ie/21665,word
MS2.1,http://www.dil.ie/22134,word
MS2.1,http://www.dil.ie/32400,word
MS2.1,http://www.dil.ie/32909,word
MS2.1,http://www.dil.ie/25351,word
MS2.1,http://www.dil.ie/17096,word
MS2.1,http://www.dil.ie/34047,word
MS2.1,http://www.dil.ie/32400,word
MS2.1,http://www.dil.ie/8622,word
MS2.1,http://www.dil.ie/28194,word
MS2.1,http://www.dil.ie/34562,word
MS2.1,http://www.dil.ie/24053,word
MS2.1,http://www.dil.ie/31705,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/35354,word
MS2.1,http://www.dil.ie/33783,word
MS2.1,http://www.dil.ie/36788,word
MS2.1,http://www.dil.ie/36788,word
MS2.1,http://www.dil.ie/28194,word
MS2.1,http://www.dil.ie/8787,word
MS2.1,http://www.dil.ie/17096,word
MS2.1,http://www.dil.ie/32400,word
MS2.1,http://www.dil.ie/12497,word
MS2.1,http://www.dil.ie/36454,word
MS2.1,http://www.dil.ie/8205,word
MS2.1,http://www.dil.ie/22333,word
MS2.1,http://www.dil.ie/9397,word
MS2.1,http://www.dil.ie/32908,word
MS2.1,http://www.dil.ie/31160,word
MS2.1,http://www.dil.ie/25119,word
MS2.1,http://www.dil.ie/25080,word
MS2.1,http://www.dil.ie/19094,word
MS2.1,http://www.dil.ie/15847,word
MS2.1,http://www.dil.ie/32400,word
MS2.1,http://www.dil.ie/31029,word
MS2.1,http://www.dil.ie/7528,word
MS2.1,http://www.dil.ie/29234,word
MS2.1,http://www.dil.ie/22333,word
MS2.1,http://www.dil.ie/22333,word
MS2.1,http://www.dil.ie/8622,word
MS2.1,http://www.dil.ie/8437,word
MS2.1,http://www.dil.ie/17096,word
MS2.1,http://www.dil.ie/39454,word
MS2.1,http://www.dil.ie/9786,word
MS2.1,http://www.dil.ie/12925,word
MS2.1,http://www.dil.ie/9786,word
MS2.1,http://www.dil.ie/9470,word
MS2.1,http://www.dil.ie/35181,word
MS2.1,http://www.dil.ie/28194,word
MS2.1,http://www.dil.ie/33244,word
MS2.1,http://www.dil.ie/35181,word
MS2.1,http://www.dil.ie/28194,word
MS2.1,http://www.dil.ie/33244,word
MS2.1,http://www.dil.ie/43210,word
MS2.1,http://www.dil.ie/34047,word
MS2.1,http://www.dil.ie/3902,word
MS2.1,http://www.dil.ie/15433,word
MS2.1,http://www.dil.ie/17096,word
MS2.1,http://www.dil.ie/16570,word
MS2.1,http://www.dil.ie/17096,word
MS2.1,http://www.dil.ie/17096,word
MS2.1,http://www.dil.ie/31029,word
MS2.1,http://www.dil.ie/15847,word
MS2.1,http://www.dil.ie/22333,word
MS2.1,http://www.dil.ie/15433,word
MS2.1,http://www.dil.ie/14787,word
MS2.1,http://www.dil.ie/31705,word
MS2.1,http://www.dil.ie/28194,word
MS2.1,http://www.dil.ie/33244,word
MS2.1,http://www.dil.ie/15847,word
MS2.1,http://www.dil.ie/17096,word
MS2.1,http://www.dil.ie/16570,word
MS2.1,http://www.dil.ie/15847,word
MS2.1,http://www.dil.ie/17096,word
MS2.1,http://www.dil.ie/16570,word
MS3.1,http://www.dil.ie/4041,word
MS3.1,http://www.dil.ie/35181,word
MS3.1,http://www.dil.ie/13060,word
MS3.1,http://www.dil.ie/8622,word
MS3.1,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=834E5EF53F94BD4C1D7A34C5E5664656,word
MS3.1,http://www.dil.ie/41798,word
MS3.1,http://www.dil.ie/32548,word
MS3.1,http://www.dil.ie/3623,word
MS3.1,http://www.dil.ie/2930,word
MS3.1,http://www.dil.ie/14575,word
MS3.1,http://www.dil.ie/26716,word
MS3.1,http://www.dil.ie/14597,word
MS3.1,http://www.dil.ie/4041,word
MS3.1,http://www.dil.ie/5534,word
MS3.1,http://www.dil.ie/40489,word
MS3.1,http://www.dil.ie/26087,word
MS3.1,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=581253AF71216382D80375D588100F3F,word
MS3.1,http://www.dil.ie/6398,word
MS3.1,http://www.dil.ie/21718,word
MS3.1,http://www.dil.ie/19263,word
MS3.1,http://www.dil.ie/16570,word
MS3.1,http://www.dil.ie/24834,word
MS3.1,http://www.dil.ie/26799,word
MS3.1,http://www.dil.ie/32935,word
MS3.1,http://www.dil.ie/41429,word
MS3.1,http://www.dil.ie/29542,word
MS3.1,http://www.dil.ie/7221,word
MS3.1,http://www.dil.ie/8347,word
MS3.1,http://www.dil.ie/29104,word
MS3.1,http://www.dil.ie/7528,word
MS3.1,http://www.dil.ie/2010,word
MS3.1,http://www.dil.ie/29233,word
MS3.1,http://www.dil.ie/5,word
MS3.1,http://www.dil.ie/25119,word
MS3.1,http://www.dil.ie/22290,word
MS3.1,http://www.dil.ie/33484,word
MS3.1,http://www.dil.ie/23272,word
MS3.1,http://www.dil.ie/38009,word
MS3.1,http://www.dil.ie/3902,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/18161,word
MS3.1,http://www.dil.ie/32548,word
MS3.1,http://www.dil.ie/42968,word
MS3.1,http://www.dil.ie/9786,word
MS3.1,http://www.dil.ie/27606,word
MS3.1,http://www.dil.ie/33364,word
MS3.1,http://www.dil.ie/28411,word
MS3.1,http://www.dil.ie/4041,word
MS3.1,http://www.dil.ie/1842,word
MS3.1,http://www.dil.ie/27105,word
MS3.1,http://www.dil.ie/30272,word
MS3.1,http://www.dil.ie/33925,word
MS3.1,http://www.dil.ie/40940,word
MS3.1,http://www.dil.ie/26020,word
MS3.1,http://www.dil.ie/25565,word
MS3.1,http://www.dil.ie/22171,word
MS3.1,http://www.dil.ie/33596,word
MS3.1,http://www.dil.ie/9786,word
MS3.1,http://www.dil.ie/20288,word
MS3.1,http://www.dil.ie/27115,word
MS3.1,http://www.dil.ie/25996,word
MS3.1,http://www.dil.ie/996,word
MS3.1,http://www.dil.ie/17096,word
MS3.1,http://www.dil.ie/35364,word
MS3.1,http://www.dil.ie/29104,word
MS3.1,http://www.dil.ie/10620,word
MS3.1,http://www.dil.ie/14251,word
MS3.1,http://www.dil.ie/18205,word
MS3.1,http://www.dil.ie/36456,word
MS3.1,http://www.dil.ie/31166,word
MS3.1,http://www.dil.ie/30711,word
MS3.1,http://www.dil.ie/30602,word
MS3.1,http://www.dil.ie/26177,word
MS3.1,http://www.dil.ie/29104,word
MS3.1,http://www.dil.ie/26891,word
MS3.1,http://www.dil.ie/37567,word
MS3.1,http://www.dil.ie/17788,word
MS3.1,http://www.dil.ie/35297,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/18161,word
MS3.1,http://www.dil.ie/32548,word
MS3.1,http://www.dil.ie/17096,word
MS3.1,http://www.dil.ie/28540,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/4041,word
MS3.1,http://www.dil.ie/35181,word
MS3.1,http://www.dil.ie/37567,word
MS3.1,http://www.dil.ie/33484,word
MS3.1,http://www.dil.ie/29104,word
MS3.1,http://www.dil.ie/27113,word
MS3.1,http://www.dil.ie/38191,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/35297,word
MS3.1,http://www.dil.ie/17788,word
MS3.1,http://www.dil.ie/26891,word
MS3.1,http://www.dil.ie/37567,word
MS3.1,http://www.dil.ie/26892,word
MS3.1,http://www.dil.ie/6345,word
MS3.1,http://www.dil.ie/35181,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/24242,word
MS3.1,http://www.dil.ie/33484,word
MS3.1,http://www.dil.ie/35181,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/26552,word
MS3.1,http://www.dil.ie/33484,word
MS3.1,http://www.dil.ie/35181,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/28411,word
MS3.1,http://www.dil.ie/30046,word
MS3.1,http://www.dil.ie/4186,word
MS3.1,http://www.dil.ie/35181,word
MS3.1,http://www.dil.ie/36239,word
MS3.1,http://www.dil.ie/33484,word
MS3.1,http://www.dil.ie/23166,word
MS3.1,http://www.dil.ie/29667,word
MS3.1,http://www.dil.ie/35181,word
MS3.1,http://www.dil.ie/28744,word
MS3.1,http://www.dil.ie/41451,word
MS3.1,http://www.dil.ie/31166,word
MS3.1,http://www.dil.ie/35181,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,Espáin,word
MS3.1,http://www.dil.ie/31166,word
MS3.1,http://www.dil.ie/31166,word
MS3.1,http://www.dil.ie/35181,word
MS3.1,http://www.dil.ie/21665,word
MS3.1,http://www.dil.ie/13103,word
MS3.1,http://www.dil.ie/8624,word
MS3.1,http://www.dil.ie/35181,word
MS3.1,http://www.dil.ie/21665,word
MS3.1,http://www.dil.ie/13291,word
MS3.1,http://www.dil.ie/8622,word
MS3.1,http://www.dil.ie/8392,word
MS3.1,http://www.dil.ie/8622,word
MS3.1,http://www.dil.ie/35181,word
MS3.1,http://www.dil.ie/21665,word
MS3.1,http://www.dil.ie/8392,word
MS3.1,http://www.dil.ie/8622,word
MS3.1,http://www.dil.ie/9690,word
MS3.1,http://www.dil.ie/35181,word
MS3.1,http://www.dil.ie/30738,word
MS3.1,http://www.dil.ie/33484,word
MS3.1,http://www.dil.ie/3,word
MS3.1,http://www.dil.ie/41892,word
MS3.1,http://www.dil.ie/41892,word
MS3.1,http://www.dil.ie/6585,word
MS3.1,http://www.dil.ie/26892,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/25974,word
MS3.1,http://www.dil.ie/25709,word
MS3.1,http://www.dil.ie/25264,word
MS3.1,http://www.dil.ie/33484,word
MS3.1,http://www.dil.ie/33484,word
MS3.1,http://www.dil.ie/32533,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/32761,word
MS3.1,http://www.dil.ie/33484,word
MS3.1,http://www.dil.ie/35181,word
MS3.1,http://www.dil.ie/40940,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/33925,word
MS3.1,http://www.dil.ie/33484,word
MS3.1,http://www.dil.ie/14251,word
MS3.1,http://www.dil.ie/15797,word
MS3.1,http://www.dil.ie/38426,word
MS3.1,http://www.dil.ie/35181,word
MS3.1,http://www.dil.ie/32761,word
MS3.1,http://www.dil.ie/33484,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/18205,word
MS3.1,http://www.dil.ie/15324,word
MS3.1,http://www.dil.ie/12567,word
MS3.1,http://www.dil.ie/31166,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/19155,word
MS3.1,http://www.dil.ie/35181,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,https://dasg.ac.uk/slips/index.php?id=0090027,word
MS3.1,http://www.dil.ie/33398,word
MS3.1,http://www.dil.ie/4186,word
MS3.1,http://www.dil.ie/28651,word
MS3.1,http://www.dil.ie/35181,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/26552,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/33512,word
MS3.1,http://www.dil.ie/5644,word
MS3.1,http://www.dil.ie/25265,word
MS3.1,http://www.dil.ie/29104,word
MS3.1,http://www.dil.ie/31438,word
MS3.1,http://www.dil.ie/26891,word
MS3.1,http://www.dil.ie/18161,word
MS3.1,http://www.dil.ie/32548,word
MS3.1,http://www.dil.ie/9786,word
MS3.1,http://www.dil.ie/27606,word
MS3.1,http://www.dil.ie/29104,word
MS3.1,http://www.dil.ie/26891,word
MS3.1,http://www.dil.ie/37567,word
MS3.1,http://www.dil.ie/5,word
MS3.1,http://www.dil.ie/17788,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/37981,word
MS3.1,http://www.dil.ie/37567,word
MS3.1,http://www.dil.ie/17096,word
MS3.1,http://www.dil.ie/28540,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/28201,word
MS3.1,http://www.dil.ie/5,word
MS3.1,http://www.dil.ie/4927,word
MS3.1,http://www.dil.ie/35181,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/18161,word
MS3.1,http://www.dil.ie/26892,word
MS3.1,http://www.dil.ie/18205,word
MS3.1,http://www.dil.ie/36456,word
MS3.1,http://www.dil.ie/31166,word
MS3.1,http://www.dil.ie/30602,word
MS3.1,http://www.dil.ie/26177,word
MS3.1,http://www.dil.ie/33484,word
MS3.1,http://www.dil.ie/29104,word
MS3.1,http://www.dil.ie/19325,word
MS3.1,http://www.dil.ie/29104,word
MS3.1,http://www.dil.ie/340,word
MS3.1,http://www.dil.ie/33397,word
MS3.1,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=7E145C01680F4B96EC0D6B602D966228,word
MS3.1,http://www.dil.ie/26891,word
MS3.1,http://www.dil.ie/37567,word
MS3.1,http://www.dil.ie/19657,word
MS3.1,http://www.dil.ie/33856,word
MS3.1,http://www.dil.ie/13327,word
MS3.1,http://www.dil.ie/17098,word
MS3.1,http://www.dil.ie/17752,word
MS3.1,http://www.dil.ie/22134,word
MS3.1,http://www.dil.ie/31166,word
MS3.1,http://www.dil.ie/13810,word
MS3.1,http://www.dil.ie/8,word
MS3.1,http://www.dil.ie/20288,word
MS3.1,http://www.dil.ie/41608,word
MS3.1,http://www.dil.ie/27725,word
MS3.1,http://www.dil.ie/28326,word
MS3.1,http://www.dil.ie/33484,word
MS3.1,http://www.dil.ie/17098,word
MS3.1,http://www.dil.ie/4927,word
MS3.1,http://www.dil.ie/36708,word
MS3.1,http://www.dil.ie/6133,word
MS3.1,http://www.dil.ie/6133,word
MS3.1,http://www.dil.ie/33397,word
MS3.1,http://www.dil.ie/35181,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/24242,word
MS3.1,http://www.dil.ie/33484,word
MS3.1,http://www.dil.ie/17098,word
MS3.1,http://www.dil.ie/19922,word
MS3.1,http://www.dil.ie/5644,word
MS3.1,http://www.dil.ie/33484,word
MS3.1,http://www.dil.ie/28651,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/35181,word
MS3.1,http://www.dil.ie/29233,word
MS3.1,http://www.dil.ie/33397,word
MS3.1,http://www.dil.ie/39363,word
MS3.1,http://www.dil.ie/10554,word
MS3.1,http://www.dil.ie/26460,word
MS3.1,http://www.dil.ie/17096,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/15982,word
MS3.1,http://www.dil.ie/29104,word
MS3.1,http://www.dil.ie/26891,word
MS3.1,http://www.dil.ie/37567,word
MS3.1,http://www.dil.ie/4383,word
MS3.1,http://www.dil.ie/35181,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/18161,word
MS3.1,http://www.dil.ie/8965,word
MS3.1,http://www.dil.ie/29104,word
MS3.1,http://www.dil.ie/20156,word
MS3.1,http://www.dil.ie/26891,word
MS3.1,http://www.dil.ie/3906,word
MS3.1,http://www.dil.ie/32044,word
MS3.1,http://www.dil.ie/26891,word
MS3.1,http://www.dil.ie/8031,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/20288,word
MS3.1,http://www.dil.ie/31705,word
MS3.1,http://www.dil.ie/37567,word
MS3.1,http://www.dil.ie/3904,word
MS3.1,http://www.dil.ie/25996,word
MS3.1,http://www.dil.ie/31166,word
MS3.1,http://www.dil.ie/33928,word
MS3.1,http://www.dil.ie/4927,word
MS3.1,http://www.dil.ie/3902,word
MS3.1,http://www.dil.ie/28326,word
MS3.1,http://www.dil.ie/33364,word
MS3.1,http://www.dil.ie/22134,word
MS3.1,http://www.dil.ie/33484,word
MS3.1,http://www.dil.ie/33364,word
MS3.1,http://www.dil.ie/12478,word
MS3.1,http://www.dil.ie/33364,word
MS3.1,http://www.dil.ie/8622,word
MS3.1,http://www.dil.ie/39986,word
MS3.1,http://www.dil.ie/33484,word
MS3.1,http://www.dil.ie/17752,word
MS3.1,http://www.dil.ie/20161,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/12912,word
MS3.1,http://www.dil.ie/38191,word
MS3.1,http://www.dil.ie/17096,word
MS3.1,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=7E145C01680F4B96EC0D6B602D966228,word
MS3.1,http://www.dil.ie/33484,word
MS3.1,http://www.dil.ie/4383,word
MS3.1,http://www.dil.ie/34804,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/29367,word
MS3.1,http://www.dil.ie/41880,word
MS3.1,http://www.dil.ie/37388,word
MS3.1,http://www.dil.ie/9786,word
MS3.1,http://www.dil.ie/20288,word
MS3.1,http://www.dil.ie/3242,word
MS3.1,http://www.dil.ie/2,word
MS3.1,http://www.dil.ie/9365,word
MS3.1,http://www.dil.ie/32222,word
MS3.1,http://www.dil.ie/9787,word
MS3.1,http://www.dil.ie/32548,word
MS3.1,http://www.dil.ie/26495,word
MS3.1,http://www.dil.ie/26931,word
MS3.1,http://www.dil.ie/25035,word
MS3.1,http://www.dil.ie/7528,word
MS3.1,http://www.dil.ie/40940,word
MS3.1,http://www.dil.ie/39637,word
MS3.1,http://www.dil.ie/26931,word
MS3.1,http://www.dil.ie/22221,word
MS3.1,http://www.dil.ie/14232,word
MS3.1,http://www.dil.ie/28194,word
MS3.1,http://www.dil.ie/18161,word
MS3.1,http://www.dil.ie/15020,word
MS3.1,http://www.dil.ie/8344,word
MS3.1,http://www.dil.ie/21983,word
MS3.1,http://www.dil.ie/22171,word
MS3.1,http://www.dil.ie/37567,word
MS3.1,http://www.dil.ie/4927,word
MS3.1,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=7E145C01680F4B96EC0D6B602D966228,word
MS3.1,http://www.dil.ie/39303,word
MS3.1,http://www.dil.ie/17096,word
MS3.1,http://www.dil.ie/37981,word
